review_id,user_id,business_id,stars,date,text,useful,funny,cool
Hfz8ac7rVmJanpaIK9bFkw,VodYZaQkY420W6tEuwoL3w,GzjpOdtrQGkggGQmUN7xkw,1,2015-02-20,"I am writing this review to let others know , never to get hotel and air tickets thru expedia which will rip you off. I did a reservation for shereton on the fall hotel in niagra falls in canada thru them. They charged me $ 550 for two nights and promised me the room would be facing niagra fall. But the room I got didn't have any window facing niagra fall instead the window was in front of the wall from where even sun light cannot come thru.
Tried to explain everything to the receptionist but all my efforts went in vain. Tried to get hold of expedia which was of no use since the guy who did my reservation named (ketan) was sitting somewhere in India . 
My entire visit ended up in drain as I got so frustrated that I left the hotel next day. 
I wish I wouldn't have gone thru expedia. 
Just remember expedia operations are done from India so if you live in USA you cannot do anything once your credit card is charged on false promises . They'll try to lure you thru cheap prices but ultimately you'll end up losing everything because that's actually what they specialize in .
I am writing this not out of frustration but after giving a considerable thought so that others cannot be bluffed into their fraud.",5,0,0
CcRTLXQe_Zi510dmTfvBVg,5pJmCWpxtirxQwA5ovdvug,ITOa1olD2HTgEVOnH8zVog,4,2016-02-08,"Shining gem of Chandler, AZ! Located just far enough away from the hustle and bustle of the Chandler Fashion Center to be relaxing, yet close enough to keep you in the action, this is that ""off the not-so beaten path"" restaurant you need to experience.

Flavorful and mouth watering food, such as, their chicken burrito (I added their green chili sauce) has kept me coming back for more. They serve breakfast burritos ALL DAY! Also offering tacos, flautas, tostadas, quesadillas, taco salads (and supra), enchiladas, chimichangas, and beers to ensure you get your money's worth.

Speaking of money, their prices are very good for the quality and portions. Friendly staff welcomes you with warm smiles as they take your order from the counter. Pick your table from the cozy inside or from the scenic patio (with bonfire pit) and after a few quick moments of enjoying the atmosphere, your food will be ready for you to devour!

Put Espo's Authentic Mexican Food on your ""must-go"" list!",1,1,1
A2Yy3_VeL9X-8D1pkD81vg,3OsWeDbxoKHsM3-9n9owgw,q-PjhuY9vVyu_fWt2WF__g,5,2014-02-10,Excellent Food. Decent Environment. Stressed Out Staff (Not Rude but Not Happy For Sure),0,0,0
31URQnysGZ6QqCtHD9rQRA,8VYmW82PJI4je1qyzgUFEA,366FaRQ1MWEHBhaEKTcriQ,4,2011-08-09,"Spinato's is by far our favorite pizza! But, this location has a limited menu & is very crowded, this is why the 4 stars, but the thin crust pizza is 5+, yum!",0,0,0
PbxIqfY0l3m_PHrn57viKg,_jjbwHWLFA5GjWFWGLj4ZQ,JWldS1fDDZzLQkMgBJ4yUA,5,2012-12-27,"I am going to go ahead and give The Laugh Factory a solid five stars.

I happened to see a couple great comedians here last week.

If I'm laughing at a comedy show without drinking too much, it's pretty darn funny. 

The comedians Jay Black and Gerry Bednob had me in stitches.  

The Laugh Factory itself is a great value.  3 tickets set me back about $67 with my 2-4-1 deal from The Tropicana.  There is no drink minimum and drinks were reasonably priced (2 glasses of wine and a White Russian were $28).  

The venue is quaint... so I don't see any reason to pay for VIP.  I actually got sat in VIP anyway, so I assume most people don't pay the upcharge.

I've never not enjoyed myself watching comedians at The Trop... It is a great way to spend a couple hours (and much cheaper than gambling for the same period of time)!",6,0,0
pVzZIpKYGkyA-f2a9ndwbA,jOX6aVwI9sA-sQFWBZSsFw,ym5FOqL6tGbgynzwKMHZuw,2,2014-09-28,"Lots and lots and lots of deep fried food!!! 

Let me start off by saying that the food at Crab Corner is not my thing. I'm not big on fried foods. At all. If you like deep fried everything (especially seafood) then, seriously, look no further. 

This place is very large.  It has lots of space, several TVs, a big bar and a great patio. The smell (seafood) is very strong when you walk in the door which kind of killed my appetite a little. The staff is great.  There was one guy, who was playing host, waiter, and bus boy.  He was doing an excellent job too - very friendly and super quick. 

We ate: 
Boardwalk Fries - Pretty tasty and very well seasoned. 
Cod - This was beer battered and fried. By far the heaviest thing we ordered. 
Catfish - ""Lightly"" breaded and fried.
Onion Rings 
Hush Puppies
Pretty much all of this tasted the same and all of it tasted like greasy breading with the exception of the Cod which had a nice vinegar finish.  I kind of dug it, but I was starting to feel really gross by the time I tasted this. 
My husband really liked the hush puppies (I thought they were kind of so so) and he also thoroughly enjoyed his soft shell crab sandwich.  

I HATE to give such a low star review and was fully prepared to 3 star this place and move on. Then, hoping to salvage the meal by treating myself to a rare something sweet, I ordered the only dessert on the menu - the snow ball.  I'm sorry but this thing was unforgivable.  If you are going to put a snow cone on your restaurant menu, it should probably be a dang good snow cone. I've had better ones served to me by 9 year olds at little league games. 

I Probably will not return.",3,0,1
OsPnmPry75HiGt0TxSK-sQ,EKpcPppK6iQv0fO0j-Fv-A,umxki_So2--o08q9bkXK6Q,4,2014-05-13,"I personally think Picazzo's food is not bad at all. My group of friends came in on a Monday night around 8PM so of course it wasn't busy. We got seated right away and our server was friendly and pretty funny. Two of my friends got a large pizza, half was chipotle and the other half was spicy Thai peanut sauce ( or something like that). I tried and thought it was very good. It was different from traditional pizzas, the hand tossed crust was to die for. Another friend of ours can't eat gluten so he got a gluten-free crust pepperoni and I, of course, had to get my greedy hand on it and it was tasty. I, myself, got an appetizer which was the Spicy Thai Peanut chicken wings. There were about 8 to 10 wings for 12 dollars, hm...a little bit pricey but was worthwhile. The flavor was different, but good. The wings were not breaded, but were crunchy.

I guess I gave a 4 star because it's a little pricey...I know it's Scottsdale, organic and everything, but for a meal and a beer, you can easily pay 40 bucks, which is, to me, not a daily thing. 

But in general, I'd recommend this restaurant. I will continue to come back.",0,0,0
XSd9ZWHCNI8RCKnAxiabcg,qm-2jbXKK5orFB2sUNAFPQ,Nx9AtXsteE3Junwwc77kug,5,2016-04-19,"Worth every penny!!! Chris turned my problematic, energetic Irish setter into a well behaved, confident potty trained dog! Which I am now aloud to take with me anywhere and everywhere.  Can't thank this team enough. My recommendation, a thousand times!",1,0,0
LZRuaDeKNyM98EX_by2UoA,NvwXLc3JBLvkEq8Ovr2uzQ,XjepvTIfp4iqGq1orODedg,5,2013-11-12,The best Stromboli in town!!! I just love the place is like time just stops when you r there definitely one so my regular spots!!!,0,0,0
VL1Ug17MgQGHDHpVMm_iEw,SLuLb54YcdVbT-7WHQi1gw,icFXoKY9_U15RxkNbyroPQ,5,2015-04-06,"I use to go here all the time when I worked nearby.  Their Penne A La Vodka, Penne with grilled veggies are amazing.  The family owned restaurant gives you that personal welcome.  The chef always going out of his way to personalize my order.  

You cant go wrong with anything you order.

Also tried thier pizzas, shrimps, garlic bread, soup and chicken parmesian.",2,0,0
CYTDhY6CZ_JqiM4GeVU3AA,sr6L2-GFMYPQtCvPpwcxDw,ir3290jmmZUZYa2Z600PIA,5,2017-06-01,"I haven't updated my resume in 5 years and the thought of doing it myself was daunting, so I'm so glad I found Perfect Resume! I had an initial phone conversation with Stephanie where she did some light career coaching by listening to where I'm currently at in my career and what I'm thinking of doing next and helped steer me in the right direction. I completed a very thorough questionnaire and the final product is a very detailed resume document that I'm confident will get me noticed by recruiters and I for sure could have never put together myself. If you're looking for new opportunities and need to revise your resume, save yourself from running around in circles and hire these guys to do it right the first time around.",3,0,2
Yhn9eMK1c52p-Kb7Ls0C0A,1NghUrMOdStpFGbdMz-s0w,63lBTe-rgqR_LcAOh_xuPQ,1,2016-01-22,"There are plenty of great restaurants in Little Italy, but this is not one... The clear view of the kitchen gives way to the microwave, which is used frequently to reheat old dishes. I personally prefer restaurants that make their food on the stove and hold themselves to a higher standard. The food is lack luster as demonstrated by the use of microwaves. But, if you are looking for just a nice small iceberg lettuce salad with a couple olives, it may be to your liking.",0,0,0
s129R7YOPKuPlxH1e59XkQ,_eSIr4PfbTkORiQmtd3E6g,ChyhR2xZrpy8DcWCqKhVQQ,5,2014-03-12,"I come here a lot to get my craving for smoothies satisfied.  I love the post work-out smoothie, and the meal replacement smoothies.

When I'm super busy and don't have time for a meal, the meal replacement smoothie hits the spot, especially when I have them add in oats.

The prices for the smoothies are reasonable especially compared to other places, and their loyalty card has provided me several free smoothies.

The smoothies taste great - not too sweet. The texture is perfect, and very satisfying.  This is my favorite smoothie place, and I love smoothies!",1,0,0
X1XBSPCdb3-iNDCXclH3Wg,nT9hrb0nJ0CIox17zsyd9w,WUq8HJHIZU4uteB154XN7w,5,2011-10-08,"World class DJ's, outdoor\/indoor, Vegas .. enough said!",1,0,0
WqdipKqEyLA43nVYq2FQFg,clXledY8JuPEI06rw1a_Rg,TPvVGmT4AY1mloktV-2Dpw,5,2015-07-08,"Live this place, new fav family run spot! Pizza by the slice, great pasta selection, unique and delishous!",1,0,0
wFkMvG2_PCeZloCzW-Bw4Q,0_O2s_ytOASzt7CFzx-MkQ,h98IJqWW0wVxwoLV03Azfw,5,2017-04-22,"HUGE shout out to Katrice for going above and beyond for her customers-we would come back here just for her! Luckily, the food is outstanding as well, we enjoyed both the pizza and the salads. I'm picky so the very customizable nature of the place was perfect for me. The price was more than reasonable too. I wish it was local, but my understanding is that they treat their employees well and give people a second chance who might not get hired at other places, which is great too. Highly recommend for a casual but awesome dinner!",1,0,0
