user_id,name,review_count,yelping_since,friends,useful,funny,cool,fans,elite,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos,text,date,likes,business_id
dqoIGZIzbUrwT1Ld-7YKUA,VJ,37,2012-11-05,None,0,0,1,0,None,4.41,0,0,0,0,0,2,2,0,0,0,0,,,,
lD_kaksnsmwfc2j1NTTLfQ,Courtney,3,2011-02-14,None,0,0,1,0,None,3.67,0,0,0,0,0,0,0,0,0,0,0,,,,
cRwfVxlXC8WuxTBxUTKJ7w,Chuck,20,2012-11-03,None,0,0,0,0,None,4.59,0,0,0,0,0,0,0,0,0,1,0,,,,
ELqUBxc8q2A-rUyKlEUb7A,Miriam,11,2011-10-03,"La5C7H2CON83AR_FVlyMTw, 1VARZkl_-tAT84dwDNzPQg, X1m7dtbqZoiGTMnKrJGr-A, fLKnm9usmvNxGy-SaCmq-w",0,1,0,0,None,3.73,0,0,0,0,0,0,0,1,1,0,0,,,,
VGRjekRjUvxrY-OQcr5Rbw,John,8,2009-07-16,47r-Fhx0yxQt152a0wQ-hQ,4,2,3,0,None,4.33,1,0,0,0,0,0,0,0,0,0,0,,,,
MmJsl1S8SQZtx7FjnH-10g,Thea,2,2016-01-02,None,0,0,0,0,None,5.0,0,0,0,0,0,0,0,0,0,0,0,,,,
ZqZCElp1seyHHF4Kv4hxPw,Michele,4,2013-11-29,None,0,0,0,1,None,3.6,0,0,0,0,0,0,0,0,0,0,0,,,,
fhvab3YQf4G2vV0qk2o-qA,Carolyn,18,2011-06-12,"cu3V3PM7tXxF9stvXYIZjw, MmDmjRy1pETSwc_2FvX6RQ, UV1WpwRYNm9SsxjqTPir3w, ml3WAiSAq4Z2f61z70C1Gg, 7IUiFrlGsz9l7osnZapNbw, MAKdGVxONNhDxpb_GQWejA, h26qEL7k0hdW2Dl7_9NMQw, wKjDv8RjqS8lJ0GFKe7y0Q, vijUV-aIZJAB9f-x5uwT9w, UJ0ig9UnmMtQWCD4zgxNLQ, Glr2YOt8BvgpFwk9tezGsQ, qm0FzoqeYiFVS4VoS6bpBQ, UFREd-Bpw66536kWzZ5aqA, 22xpSnpImGihSEdsC7ysHQ, VkgqDCpxQt1YbNCwuHM0dQ, xk77gKTbuABW0iL8gWkTvg, 0mnzgMY02BCj0_fWcn2Fng, Yk1XIB0WatZ1VPvekCLA4g, KfufM0Jk3KakCWVuVjXIBA, ujBqQBEkURA0dAgn6_XMYg, KACDjDR0zzVndukmJL50Aw, CfI5O2CNH2lsLz-0vVIuKA, YJeaERtDix7-qab8I27QmQ, YOVGO4UtPOom_HQpzO5R0w, 0ynZXi6i5ubMMqfPs51Mug, NyBaWPkJ6A4QemKr7tQ6Sw, XYc4DlL9TaYRXQhfljQq5w, ze5kbt377mJ9a5T1C1sf0g, cehcinnG3v5aIfAKVRP7yg, agQxhTiq44SsIqURkCbAbQ, LnfE053-JrP2ExZ7QUCK7A, OokaW2xgG4ksq0kgKbIVRA, vDKZ5TmdrPy1xtZ0oIbp5w, hP7wTfaXlKEJjzGsRksxlA, JlXGlzpwnOKSbM10LtwieQ, hQ4CVgUezMZwuBb62p7CvA, b-OSv2kZpJ0KKC5DpnzwOw, RGXGEt4Fp1V41_ceYOrb8A, nDkPVb95zYBS0ypOpIEbLg, dgYA4Ts1j-xfpX_n133GLw, DoahMPXeQTKN_P6nKzZPeg, 9m1Cew8lET4QU34SBy5jXg, 7O9hNNAJSPwzE2dfTHkk9A, KyDmsVr7kf0Fpmq8tX68Tw, sRDeROYrA8Z2ROqijkmcZA, 5drhejF3LYaDDDuKO73Cew, hCMyE0K1SITuFqdepErgCg, qY7du5u1gQ2SrSVPYE-jeg, jyG7jxaPBc6QOnVXV5eQpQ, JITg_XXZ2SyGISrmg18CVg, 2sojdNFLs07QV5suexubow, 2sOXqcZZrZd6lEcLbGym2w, rkxJ3bl4Dt4hra3xn4H-6A, -CS2cXMcxbAE4hC8hkSOCw, gDeKMPE9A_xs_DNURKlLJw, PFFyxhb1RY1Nz-j-oRTC7A, 9rfAa6LuYySw4gxH2VBbKQ, bRe3rb2Q1dl-U6Aq1Zwvkw, b-zEix-XJKobuiO-p4a0Ng",2,1,1,0,None,3.39,0,0,0,0,0,1,1,0,0,0,0,,,,
zu6TpTIy5awoAwbYg3K-3g,D,81,2009-07-24,"QAlw0XhUh7x4ShK1y8eqGw, WuikBnQ4kdVhPYqUfTy7UA, pF0-7bAn5ClY3Ls1F3jPGw, uTtKNROVs9EY5fWDIZBjOQ, iJQtNnEcrxdpaD132v26nQ, K6OnRYdKKipqtxZoCyNiSw, bVCKC0uafb6ST3-pGIomtQ, B1m44jSEkCCyH6Hnyt4f1A",242,12,2,4,None,3.37,0,0,0,0,0,1,1,0,0,0,0,,,,
wOp5-4PtSYpqpMLyDN3LnA,Tyler,7,2016-05-20,None,0,0,0,0,None,1.43,0,0,0,0,0,0,5,0,0,0,0,,,,
